x-axis,1,2,3
second,Volt,Volt,Volt
+9.715000E-03,-12.242187500E+00,+4.400390625E+00,-1.005468726E+00
+9.720000E-03,-12.242187500E+00,+4.292968750E+00,-999.609351E-03
+9.725000E-03,-12.242187500E+00,+4.195312500E+00,-991.796851E-03
+9.730000E-03,-12.281250000E+00,+4.097656250E+00,-985.937476E-03
+9.735000E-03,-12.281250000E+00,+4.000000000E+00,-978.124976E-03
+9.740000E-03,-12.281250000E+00,+3.892578125E+00,-968.359351E-03
+9.745000E-03,-12.281250000E+00,+3.785156250E+00,-958.593726E-03
+9.750000E-03,-12.320312500E+00,+3.687500000E+00,-946.874976E-03
+9.755000E-03,-12.320312500E+00,+3.580078125E+00,-935.156226E-03
+9.760000E-03,-12.359375000E+00,+3.492187500E+00,-921.484351E-03
+9.765000E-03,-12.359375000E+00,+3.384765625E+00,-909.765601E-03
+9.770000E-03,-12.359375000E+00,+3.296875000E+00,-894.140601E-03
+9.775000E-03,-12.359375000E+00,+3.199218750E+00,-878.515601E-03
+9.780000E-03,-12.398437500E+00,+3.101562500E+00,-862.890601E-03
+9.785000E-03,-12.359375000E+00,+3.003906250E+00,-845.312476E-03
+9.790000E-03,-12.398437500E+00,+2.906250000E+00,-825.781226E-03
+9.795000E-03,-12.398437500E+00,+2.808593750E+00,-808.203101E-03
+9.800000E-03,-12.398437500E+00,+2.701171875E+00,-788.671851E-03
+9.805000E-03,-12.398437500E+00,+2.593750000E+00,-767.187476E-03
+9.810000E-03,-12.398437500E+00,+2.505859375E+00,-745.703101E-03
+9.815000E-03,-12.398437500E+00,+2.398437500E+00,-724.218726E-03
+9.820000E-03,-12.437500000E+00,+2.291015625E+00,-698.828101E-03
+9.825000E-03,-12.437500000E+00,+2.193359375E+00,-675.390601E-03
+9.830000E-03,-12.437500000E+00,+2.095703125E+00,-649.999976E-03
+9.835000E-03,-12.437500000E+00,+1.998046875E+00,-624.609351E-03
+9.840000E-03,-12.437500000E+00,+1.910156250E+00,-601.171851E-03
+9.845000E-03,-12.437500000E+00,+1.802734375E+00,-573.828101E-03
+9.850000E-03,-12.437500000E+00,+1.685546875E+00,-548.437476E-03
+9.855000E-03,-12.437500000E+00,+1.587890625E+00,-521.093726E-03
+9.860000E-03,-12.476562500E+00,+1.490234375E+00,-493.749976E-03
+9.865000E-03,-12.437500000E+00,+1.392578125E+00,-464.453101E-03
+9.870000E-03,-12.476562500E+00,+1.285156250E+00,-433.203101E-03
+9.875000E-03,-12.476562500E+00,+1.177734375E+00,-405.859351E-03
+9.880000E-03,-12.476562500E+00,+1.070312500E+00,-374.609351E-03
+9.885000E-03,-12.476562500E+00,+972.656250E-03,-345.312476E-03
+9.890000E-03,-12.476562500E+00,+865.234375E-03,-314.062476E-03
+9.895000E-03,-12.476562500E+00,+767.578125E-03,-282.812476E-03
+9.900000E-03,-12.476562500E+00,+679.687500E-03,-251.562476E-03
+9.905000E-03,-12.476562500E+00,+572.265625E-03,-218.359351E-03
+9.910000E-03,-12.476562500E+00,+474.609375E-03,-185.156226E-03
+9.915000E-03,-12.476562500E+00,+367.187500E-03,-151.953101E-03
+9.920000E-03,-12.476562500E+00,+269.531250E-03,-120.703101E-03
+9.925000E-03,-12.476562500E+00,+181.640625E-03,-87.499976E-03
+9.930000E-03,-12.476562500E+00,+83.984375E-03,-56.249976E-03
+9.935000E-03,-12.476562500E+00,-23.437500E-03,-23.046851E-03
+9.940000E-03,-12.476562500E+00,-121.093750E-03,+8.203149E-03
