time	V(n002)
4.215494933168318e-003	1.718823e-002
4.216195555872783e-003	2.930471e-002
4.216845495304922e-003	3.825174e-002
4.217453600180698e-003	4.365970e-002
4.218074143366825e-003	4.560950e-002
4.218714299916072e-003	4.371356e-002
4.219314241376042e-003	3.804275e-002
4.220142301660159e-003	2.514462e-002
4.220996445174867e-003	7.916408e-003
4.221630137046526e-003	-6.507305e-003
4.222285679652392e-003	-2.143549e-002
4.222990088318999e-003	-3.578768e-002
4.223638683320192e-003	-4.616722e-002
4.224257190020424e-003	-5.239800e-002
4.224873859530127e-003	-5.433977e-002
4.225511617190985e-003	-5.165700e-002
4.226131081230635e-003	-4.426501e-002
4.226963275047871e-003	-2.844226e-002
4.227728128983747e-003	-9.876395e-003
4.228344410310660e-003	6.908706e-003
4.228985277763758e-003	2.436890e-002
4.229684802630815e-003	4.154599e-002
4.230335258723415e-003	5.445468e-002
4.230845825040630e-003	6.151837e-002
4.231300712718503e-003	6.485199e-002
4.231754263154470e-003	6.527656e-002
4.232172550290760e-003	6.261545e-002
4.232886969701174e-003	5.239972e-002
4.233621544334718e-003	3.623061e-002
4.234344322164757e-003	1.561012e-002
4.234960659670378e-003	-4.244289e-003
4.235606651868821e-003	-2.541776e-002
4.236268300093506e-003	-4.549012e-002
4.236868871236573e-003	-6.060387e-002
4.237485013142133e-003	-7.141931e-002
4.238142375907246e-003	-7.691164e-002
4.238743258862201e-003	-7.576828e-002
4.239357354813904e-003	-6.789040e-002
4.240108582488455e-003	-5.030675e-002
4.240963616598710e-003	-2.291711e-002
4.241613529820861e-003	1.488464e-003
4.242297546746936e-003	2.826012e-002
4.242924185569963e-003	5.134459e-002
4.243476318430402e-003	6.875426e-002
4.244034302309918e-003	8.202993e-002
4.244612923977936e-003	9.017692e-002
4.245215144755397e-003	9.182722e-002
4.245836550824729e-003	8.583453e-002
4.246502587153830e-003	7.080057e-002
4.247336987699857e-003	4.243073e-002
4.248033709538705e-003	1.298685e-002
4.248633292990370e-003	-1.490337e-002
4.249254176003852e-003	-4.351660e-002
4.249892530046936e-003	-6.997550e-002
4.250542442720021e-003	-9.154163e-002
4.251139902893821e-003	-1.045447e-001
4.251759792181239e-003	-1.095446e-001
4.252399641433562e-003	-1.053937e-001
4.252994840850345e-003	-9.226263e-002
4.253816934159413e-003	-6.197888e-002
4.254666802215513e-003	-2.115531e-002
4.255301761206281e-003	1.346665e-002
4.255960683255050e-003	4.986456e-002
4.256537042886012e-003	7.906972e-002
4.257118210051957e-003	1.034380e-001
4.257715348663783e-003	1.210236e-001
4.258357619976145e-003	1.301218e-001
4.258957232125710e-003	1.283490e-001
4.259570608926699e-003	1.152724e-001
4.260318668225866e-003	8.592048e-002
4.261172333704904e-003	3.987162e-002
4.261834394045394e-003	-2.109706e-003
4.262518658787728e-003	-4.740906e-002
4.263145363416498e-003	-8.638204e-002
4.263739066740220e-003	-1.176113e-001
4.264355273468817e-003	-1.408142e-001
4.265065485560582e-003	-1.543632e-001
4.265677891424792e-003	-1.531047e-001
4.266305209080648e-003	-1.376813e-001
4.267037820081016e-003	-1.038602e-001
4.267897511915928e-003	-4.895371e-002
4.268551129121005e-003	2.823632e-004
4.269147573515311e-003	4.754716e-002
4.269776361328599e-003	9.506696e-002
4.270351842850405e-003	1.326681e-001
4.270983363737759e-003	1.636377e-001
4.271641593985981e-003	1.822120e-001
4.272247268326562e-003	1.845538e-001
4.272878561099896e-003	1.706107e-001
4.273558650652776e-003	1.378433e-001
4.274405218599752e-003	7.792108e-002
4.275086900340407e-003	1.888400e-002
4.275681240989827e-003	-3.708146e-002
4.276292260571871e-003	-9.350931e-002
4.276919673389537e-003	-1.451746e-001
4.277560685686944e-003	-1.869458e-001
4.278164242361444e-003	-2.121891e-001
4.278781866154996e-003	-2.208312e-001
4.279422157929768e-003	-2.108699e-001
4.280026107827746e-003	-1.825491e-001
4.280852190051369e-003	-1.194278e-001
4.281718099560705e-003	-3.426169e-002
4.282348973120586e-003	3.549334e-002
4.282929015038760e-003	1.000555e-001
4.283513424816795e-003	1.596040e-001
4.284101295654629e-003	2.091338e-001
4.284702302837339e-003	2.445110e-001
4.285343977992746e-003	2.624034e-001
4.285942663459431e-003	2.584090e-001
4.286554483096589e-003	2.316907e-001
4.287306932327786e-003	1.717215e-001
4.288160588790885e-003	7.857054e-002
4.288810317820078e-003	-4.591938e-003
4.289494394287364e-003	-9.589326e-002
4.290119823862540e-003	-1.742516e-001
4.290712959158595e-003	-2.370885e-001
4.291328568785273e-003	-2.837701e-001
4.292038901741617e-003	-3.142283e-001
4.292392408077920e-003	-3.179524e-001
4.292691086350589e-003	-3.120151e-001
4.293087520675487e-003	-2.935658e-001
4.293569202194169e-003	-2.591731e-001
4.293868185192435e-003	-2.307521e-001
4.294191202367165e-003	-1.932710e-001
4.294564222950706e-003	-1.436451e-001
4.295015822283927e-003	-7.673523e-002
4.295594853953623e-003	1.497716e-002
4.296196877250306e-003	1.111975e-001
4.296823726344736e-003	2.051183e-001
4.297422107350457e-003	2.811771e-001
4.298042222928398e-003	3.378439e-001
4.298747892353788e-003	3.708861e-001
4.299360166953627e-003	3.684952e-001
4.299988045370497e-003	3.320916e-001
4.300718313165570e-003	2.517894e-001
4.301576416666160e-003	1.206970e-001
4.302230680298856e-003	2.489926e-003
4.302839860282052e-003	-1.135537e-001
4.303460268762681e-003	-2.283615e-001
4.303764772273221e-003	-2.807398e-001
4.303969631524445e-003	-3.130074e-001
4.304133126630349e-003	-3.367630e-001
4.304291189641592e-003	-3.578856e-001
4.304465097239799e-003	-3.785905e-001
4.304760544678166e-003	-4.084394e-001
4.305040445910130e-003	-4.303090e-001
4.305358662249142e-003	-4.461641e-001
4.305701469276930e-003	-4.518883e-001
4.306126384649691e-003	-4.410044e-001
4.306744305045134e-003	-3.952924e-001
4.307340772949669e-003	-3.201030e-001
